"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"438",2008,1,25,"US","PHX",0,-1,256,NA
"439",2008,1,8,"UA","SFO",175,154,337,NA
"440",2008,1,10,"FL","MCO",-2,-1,403,NA
"441",2008,1,18,"US","PHX",0,-6,602,NA
"442",2008,1,23,"WN","SMF",0,5,373,NA
"443",2008,1,11,"YV","PHX",-4,-5,369,NA
"444",2008,1,1,"HA","HNL",-1,-9,2416,NA
"445",2008,1,2,"WN","MCI",63,60,967,NA
"446",2008,1,3,"DL","CMH",0,13,116,NA
"447",2008,1,17,"US","PHX",15,0,1009,NA
"448",2008,1,7,"OO","SLC",12,21,575,NA
"449",2008,1,31,"AA","SLC",-2,10,988,NA
"450",2008,1,3,"OH","JFK",78,33,589,NA
"451",2008,1,24,"XE","DAL",-5,-3,217,NA
"452",2008,1,12,"YV","PHX",-5,-9,355,NA
"453",2008,1,15,"AA","DFW",0,-9,1217,NA
"454",2008,1,29,"US","PHX",-4,-7,507,NA
"455",2008,1,5,"WN","PHX",1,-10,1788,NA
"456",2008,1,9,"WN","HOU",-5,-20,759,NA
"457",2008,1,15,"WN","BWI",3,-9,925,NA
"458",2008,1,6,"MQ","MLI",-6,-11,691,NA
"459",2008,1,26,"OO","CLD",-6,-2,86,NA
"460",2008,1,22,"WN","LAS",-2,-14,1140,NA
"461",2008,1,1,"WN","RNO",-3,9,390,NA
"462",2008,1,25,"UA","ORD",0,-9,589,NA
"463",2008,1,5,"FL","SAN",29,34,1891,NA
"464",2008,1,20,"XE","MSN",44,14,799,NA
"465",2008,1,16,"AA","ORD",-1,-13,1515,NA
"466",2008,1,30,"UA","SFO",-7,-10,447,NA
"467",2008,1,29,"EV","ATL",100,114,449,NA
"468",2008,1,28,"WN","MCI",-7,-17,405,NA
"469",2008,1,4,"XE","IAH",131,124,308,NA
"470",2008,1,19,"US","EWR",0,18,529,NA
"471",2008,1,11,"EV","ATL",15,10,147,NA
"472",2008,1,24,"WN","PBI",0,-1,174,NA
"473",2008,1,4,"OO","EUG",10,10,106,NA
"474",2008,1,25,"NW","STL",-2,-9,440,NA
"475",2008,1,31,"OO","ELP",-8,9,693,NA
"476",2008,1,1,"OO","SLC",12,1,402,NA
"477",2008,1,16,"WN","LAS",-3,-3,197,NA
"478",2008,1,17,"AA","DTW",NA,NA,987,NA
"479",2008,1,5,"NW","IND",6,7,503,NA
"480",2008,1,3,"OO","SFO",237,233,262,NA
